Question,Best Answer Span
'Er du kjent med eventuelle problemer knyttet til våtrommene,"Salgsoppgave, tilstandsrapport og selgers egenerklæring. kjøper anses kjent med forhold som er tydelig beskrevet i salgsdokumentene, og slike forhold kan ikke påberopes som mangler. dette gjelder uavhengig av om kjøper har lest dokumentene. alle interessenter oppfordres til å undersøke eiendommen nøye, gjerne sammen med fagkyndig før bud inngis. kjøper som velger å kjøpe usett kan ikke gjøre gjeldende som mangel noe han burde blitt kjent med ved undersøkelsen. dersom det er behov for avklaringer, anbefaler vi at interessenter rådfører seg med eiendomsmegler eller egne rådgivere før det legges inn bud. en bolig som har blitt brukt i en viss tid, har vanligvis blitt utsatt for slitasje og skader kan ha oppstått. slik bruksslitasje må kjøper regne med, og det kan avdekkes enkelte forhold etter overtakelse som nødvendiggjør utbedringer. normal slitasje og skader som nødvendiggjør utbedring, er innenfor hva kjøper må forvente og vil ikke utgjøre en mangel. kjøper og selgers rettigheter og plikter reguleres av avtalen mellom partene, samt informasjonen som har vært tilgjengelig for kjøperen i forbindelse med handelen. avtalen utfylles av avhendingsloven, og det gjelder ulike avtalevilkår avhengig av om kjøper er forbrukerkjøper eller ikke. dette er nærmere beskrevet nedenfor. på grunn av ulike avtalevilkår kan selger vurdere bud fra en som ikke er forbruker, ulikt fra en forbrukers bud. dersom kjøper ikke er forbruker, er selger sitt mulige mangelsansvar begrenset fordi eiendommen selges som den er. selger kan ikke ta « som den er [unk] forbehold ovenfor en forbrukerkjøper. selv et lavere bud fra en som ikke er forbruker kan foretrekkes fordi begrensningen i mulig mangelsansvar kan ha egenverdi for selger. selger står fritt til å forkaste eller akseptere ethvert bud, og er for eksempel ikke forpliktet til å akseptere høyeste bud. budgiver skal i budskjema avgi egenerklæring om budgiver er forbruker eller næringsdrivende person som hovedsakelig handler som ledd i næringsvirksomhet. budgivere får informasjon dersom andre bud er inngitt av en som ikke er forbruker. forbrukerkjøp - definisjon med forbrukerkjøp menes kjøp av eiendom når kjøperen er en fysisk person som ikke hovedsakelig handler som ledd i næringsvirksomhet. forbruker – avtalevilkår eiendommen har en mangel dersom den ikke er i samsvar med kravene som følger av avtalen, eller det foreligger brudd på bestemmelsene i avhendingsloven § § 3 - 2 til 3 - 8. hvis eiendommen ikke er i samsvar med det kjøperen må kunne forvente ut ifra."
'Har det vært problemer i våtrommene,"Salgsoppgave, tilstandsrapport og selgers egenerklæring. kjøper anses kjent med forhold som er tydelig beskrevet i salgsdokumentene, og slike forhold kan ikke påberopes som mangler. dette gjelder uavhengig av om kjøper har lest dokumentene. alle interessenter oppfordres til å undersøke eiendommen nøye, gjerne sammen med fagkyndig før bud inngis. kjøper som velger å kjøpe usett kan ikke gjøre gjeldende som mangel noe han burde blitt kjent med ved undersøkelsen. dersom det er behov for avklaringer, anbefaler vi at interessenter rådfører seg med eiendomsmegler eller egne rådgivere før det legges inn bud. en bolig som har blitt brukt i en viss tid, har vanligvis blitt utsatt for slitasje og skader kan ha oppstått. slik bruksslitasje må kjøper regne med, og det kan avdekkes enkelte forhold etter overtakelse som nødvendiggjør utbedringer. normal slitasje og skader som nødvendiggjør utbedring, er innenfor hva kjøper må forvente og vil ikke utgjøre en mangel. kjøper og selgers rettigheter og plikter reguleres av avtalen mellom partene, samt informasjonen som har vært tilgjengelig for kjøperen i forbindelse med handelen. avtalen utfylles av avhendingsloven, og det gjelder ulike avtalevilkår avhengig av om kjøper er forbrukerkjøper eller ikke. dette er nærmere beskrevet nedenfor. på grunn av ulike avtalevilkår kan selger vurdere bud fra en som ikke er forbruker, ulikt fra en forbrukers bud. dersom kjøper ikke er forbruker, er selger sitt mulige mangelsansvar begrenset fordi eiendommen selges som den er. selger kan ikke ta « som den er [unk] forbehold ovenfor en forbrukerkjøper. selv et lavere bud fra en som ikke er forbruker kan foretrekkes fordi begrensningen i mulig mangelsansvar kan ha egenverdi for selger. selger står fritt til å forkaste eller akseptere ethvert bud, og er for eksempel ikke forpliktet til å akseptere høyeste bud. budgiver skal i budskjema avgi egenerklæring om budgiver er forbruker eller næringsdrivende person som hovedsakelig handler som ledd i næringsvirksomhet. budgivere får informasjon dersom andre bud er inngitt av en som ikke er forbruker. forbrukerkjøp - definisjon med forbrukerkjøp menes kjøp av eiendom når kjøperen er en fysisk person som ikke hovedsakelig handler som ledd i næringsvirksomhet. forbruker – avtalevilkår eiendommen har en mangel dersom den ikke er i samsvar med kravene som følger av avtalen, eller det foreligger brudd på bestemmelsene i avhendingsloven § § 3 - 2 til 3 - 8. hvis eiendommen ikke er i samsvar med det kjøperen må kunne forvente ut ifra."
'Ble tettesjikt/membran/sluk oppgradert/fornyet?',"Under renovering og har planlagt ferdigstillelse i 2024. kort vei til populære grünerløkka grünerløkka, som ligger innen gangavstand, er kjent for sitt pulserende kultur og uteliv. her finner trondheimsveien 73 16 informasjon man alt av spennende caféer og restauranter blant annet populære delicatessen og villa paradiso m. m. på grünerløkka finner man også birkelunden, som byr på loppemarked hver søndag. vulkan, som tilbyr matretter i særklasse, er også kun kort spasertur fra leiligheten. kollektivtrafikk - tilbud i særklasse to minutter etter at du har låst inngangsdøren din kan du stå på sofienberg holdeplass. her finner du 17 - trikken. carl berners plass er forøvrig et viktig knutepunkt i kollektivtrafikken, og her er det direktelinjer med trikk, t - bane eller busser til destinasjoner som bi nydalen, blindern, høyskolen, ullevål sykehus, oslo s, majorstuen, bislett m. m. med andre ord kommer man seg enkelt rundt i hele sentrum. skal man benytte seg av kollektivtilbudet så behøves ingen planlegging, da man enkelt kommer seg rundt overalt i byen og som regel med en direktelinje til din destinasjon. av t - banelinjer så har man linje 5. busser så har man blant annet 20, 21, 28, 31 og 57 - bussen i tillegg til flybuss. buss 20, 21 og 31 går døgnet rundt. trikk nr 17 går også gjennom carl berner. se www. ruter. no for mer info. rodeløkka en sjarmerende del av nærmiljøet området grenser mot rodeløkka som er et spennende og sjarmerende område hvor oslos gamle arbeiderboliger ligger, her kjenner man på den nostalgiske atmosfæren. her er det også en populær velforening som arrangerer aktiviteter for barn og voksne. et område i full oppsving og utvikling bydelen opplever for tiden en oppsving i utvikling og det satses mye på det potensialet som området har. for å nevne noe her så videreutvikles tøyenbadet til et større badeland i disse dager, samt øya festivalen som har flyttet til tøyenparken. tøyenparken var også vertskap under x - games i 2016. det er også planlagt ny mathall på carl berner - carls. denne vil ligge i et stilig bygg rett ved nye coop mega. adkomst inngang fra trondheimsveien. ved fellesvisninger."
'Har tettesjikt,"Adresse trondheimsveien 73 postnummer 0565 poststed oslo kommune oslo kommunenummer 0301 matrikkel gnr. 229, bnr. 182 boligtype leilighet areal bra - i 51 [unk] bra - b 5 [unk] bra totalt 56 [unk] bruksareal fordelt på etasje 1. etasje bra - i 51 [unk] entré, stuekjøkken, bad, 2 soverom, kontor bra - b 5 [unk] innglasset balkong ikke målbare arealer boder utenfor boenheten er ofte møblertefulle og i mange tilfeller umulig å måle nøyaktig. disse arealene må derfor sees på som omtrentlige arealer og ikke eksakte. bodene er vist fremopplyst til takstingeniøren av eierrepresentant for eier på befaringsdagen eller i forkant. det er ikke fremvist dokumentasjon på eierskap av boder. takstingeniøren har ikke gjort nærmere undersøkelser om leiligheten har bruksrett til disse arealene. boder er derfor ikke medtatt i arealoppstillingen som bra - e, men kun som ca areal i tekst. byggeår 1940 standard generelt - oppvarming fyring inkl. i felleskostnadene - nye vinduer med isolerglass fra 2018. - radiatorer ble skiftet i 2014. - calling anlegg fra 2017. oppbevaring - innvendig bod i entréen - bod i kjeller på ca. 3, 5 [unk] - bod på loft på ca. 4, 5 [unk] overflater - gulv med i parkett alle rom unntatt bad som har fliser. gulvvarme i bad. - glatte malte veggflater i alle rom unntatt bad som har fliser. trondheimsveien 73 7 informasjon - malte himlingsflater i alle rom. - romhøyde målt i stue er 2, 66 m. vinduer - vinduer med isolerglass fra 2018. bad - badet ble modernisert i regi av borettslaget i 2001 med fullstendig utskiftning av alle vann - og avløpsrør, membran og sluk. badet har fliser på gulv og vegger, standard innredning, gulvvarme og dusjhjørne. - borettslaget har i 20222023 gjennomført en stikkprøvekontroll av den tekniske standarden til badene i borettslaget for å vurdere behov for modernisering, og kommet frem til at det ikke er nødvendig å vurdere dette før om 5 - 10 år."
'Er tettesjiktet,"Det mangler tettemuffer i enden av varerør på rør - i - rør - system under kjøkkenkum. - tekniske installasjoner ( ventilasjon ) bygningen har den naturlige ventilasjon som var vanlig på byggetiden. ventilasjonsløsningen er enklere enn det som benyttes i dag. naturlig ventilasjon gis på generelt grunnlag tilstandsgrad 2 da dagens strenge krav til ventilasjon ikke er oppfylt, til tross for at denne typen ventilasjon er normalt for boligerleiligheter bygget i denne tidsperioden. kapasitet og mengde luftutskiftning er ikke kontrollert da det krever eget utstyr for måling og det hører ikke inn under en nivå 1 undersøkelse. tg2 avvik som ikke krever tiltak - etasjeskillegulv mot grunn ved nivellering av gulv i 2 tilfeldige rom, ble det registrert høydeforskjeller på 18 mm i stuekjøkken og 6 mm i hovedsoverom. det er stedvis skjevheter i gulvene. dette er relativt vanlig for bygningens alder og byggemåte. - ventilasjon ( våtrom ) dette er en relativt vanlig løsning for bygningens alder og byggemåte. - avtrekk ( kjøkken ) kjøkkenet mangler forsert mekanisk avtrekk som betyr at avtrekk over stekesone ikke føres ut av rommet via kanal, yttervegg eller tilsvarende. fuktig luft vil da forbli i rommet. dette er er relativt vanlig ved flytting av kjøkken i eldre bygninger med dens byggemåte og alder. resterende punkter har fått tg0 eller tg1. innhold leiligheten ligger i 1. etasje og inneholder følgende entré, stuekjøkken, bad, 2 soverom, kontor i tillegg medfølger loftsbod og kjellerbod tilgang til velferdsrom, fellesvaskeri og en av områdets fineste bakgårder. her bor du i et trygt og veletablert borettslag med god økonomi. borettslaget har sikringsordning på fellesgjelden. varmtvann og fyring er inkludert i felleskostnadene, noe som gir en svært lav bokostnad. for øvrig er felleskostnadene lave med kun 4 259, - pr. mnd. ingen dokumentavgift og lave omkostninger ved kjøp. borettslaget er kjent for sin idylliske bakgård, sosiale facebookgruppe og godt naboskap. noen av beboerne i borettslaget har nylig startet sitt eget ølbryggeri som som heter tøyenhus boligbrygglag, andelseier."
'Har tettesjiktet,"Det mangler tettemuffer i enden av varerør på rør - i - rør - system under kjøkkenkum. - tekniske installasjoner ( ventilasjon ) bygningen har den naturlige ventilasjon som var vanlig på byggetiden. ventilasjonsløsningen er enklere enn det som benyttes i dag. naturlig ventilasjon gis på generelt grunnlag tilstandsgrad 2 da dagens strenge krav til ventilasjon ikke er oppfylt, til tross for at denne typen ventilasjon er normalt for boligerleiligheter bygget i denne tidsperioden. kapasitet og mengde luftutskiftning er ikke kontrollert da det krever eget utstyr for måling og det hører ikke inn under en nivå 1 undersøkelse. tg2 avvik som ikke krever tiltak - etasjeskillegulv mot grunn ved nivellering av gulv i 2 tilfeldige rom, ble det registrert høydeforskjeller på 18 mm i stuekjøkken og 6 mm i hovedsoverom. det er stedvis skjevheter i gulvene. dette er relativt vanlig for bygningens alder og byggemåte. - ventilasjon ( våtrom ) dette er en relativt vanlig løsning for bygningens alder og byggemåte. - avtrekk ( kjøkken ) kjøkkenet mangler forsert mekanisk avtrekk som betyr at avtrekk over stekesone ikke føres ut av rommet via kanal, yttervegg eller tilsvarende. fuktig luft vil da forbli i rommet. dette er er relativt vanlig ved flytting av kjøkken i eldre bygninger med dens byggemåte og alder. resterende punkter har fått tg0 eller tg1. innhold leiligheten ligger i 1. etasje og inneholder følgende entré, stuekjøkken, bad, 2 soverom, kontor i tillegg medfølger loftsbod og kjellerbod tilgang til velferdsrom, fellesvaskeri og en av områdets fineste bakgårder. her bor du i et trygt og veletablert borettslag med god økonomi. borettslaget har sikringsordning på fellesgjelden. varmtvann og fyring er inkludert i felleskostnadene, noe som gir en svært lav bokostnad. for øvrig er felleskostnadene lave med kun 4 259, - pr. mnd. ingen dokumentavgift og lave omkostninger ved kjøp. borettslaget er kjent for sin idylliske bakgård, sosiale facebookgruppe og godt naboskap. noen av beboerne i borettslaget har nylig startet sitt eget ølbryggeri som som heter tøyenhus boligbrygglag, andelseier."
'Er sluket,"Adresse trondheimsveien 73 postnummer 0565 poststed oslo kommune oslo kommunenummer 0301 matrikkel gnr. 229, bnr. 182 boligtype leilighet areal bra - i 51 [unk] bra - b 5 [unk] bra totalt 56 [unk] bruksareal fordelt på etasje 1. etasje bra - i 51 [unk] entré, stuekjøkken, bad, 2 soverom, kontor bra - b 5 [unk] innglasset balkong ikke målbare arealer boder utenfor boenheten er ofte møblertefulle og i mange tilfeller umulig å måle nøyaktig. disse arealene må derfor sees på som omtrentlige arealer og ikke eksakte. bodene er vist fremopplyst til takstingeniøren av eierrepresentant for eier på befaringsdagen eller i forkant. det er ikke fremvist dokumentasjon på eierskap av boder. takstingeniøren har ikke gjort nærmere undersøkelser om leiligheten har bruksrett til disse arealene. boder er derfor ikke medtatt i arealoppstillingen som bra - e, men kun som ca areal i tekst. byggeår 1940 standard generelt - oppvarming fyring inkl. i felleskostnadene - nye vinduer med isolerglass fra 2018. - radiatorer ble skiftet i 2014. - calling anlegg fra 2017. oppbevaring - innvendig bod i entréen - bod i kjeller på ca. 3, 5 [unk] - bod på loft på ca. 4, 5 [unk] overflater - gulv med i parkett alle rom unntatt bad som har fliser. gulvvarme i bad. - glatte malte veggflater i alle rom unntatt bad som har fliser. trondheimsveien 73 7 informasjon - malte himlingsflater i alle rom. - romhøyde målt i stue er 2, 66 m. vinduer - vinduer med isolerglass fra 2018. bad - badet ble modernisert i regi av borettslaget i 2001 med fullstendig utskiftning av alle vann - og avløpsrør, membran og sluk. badet har fliser på gulv og vegger, standard innredning, gulvvarme og dusjhjørne. - borettslaget har i 20222023 gjennomført en stikkprøvekontroll av den tekniske standarden til badene i borettslaget for å vurdere behov for modernisering, og kommet frem til at det ikke er nødvendig å vurdere dette før om 5 - 10 år."
'Har det skjedd fornyelser eller oppgraderinger av sluket,"Salgsoppgave, tilstandsrapport og selgers egenerklæring. kjøper anses kjent med forhold som er tydelig beskrevet i salgsdokumentene, og slike forhold kan ikke påberopes som mangler. dette gjelder uavhengig av om kjøper har lest dokumentene. alle interessenter oppfordres til å undersøke eiendommen nøye, gjerne sammen med fagkyndig før bud inngis. kjøper som velger å kjøpe usett kan ikke gjøre gjeldende som mangel noe han burde blitt kjent med ved undersøkelsen. dersom det er behov for avklaringer, anbefaler vi at interessenter rådfører seg med eiendomsmegler eller egne rådgivere før det legges inn bud. en bolig som har blitt brukt i en viss tid, har vanligvis blitt utsatt for slitasje og skader kan ha oppstått. slik bruksslitasje må kjøper regne med, og det kan avdekkes enkelte forhold etter overtakelse som nødvendiggjør utbedringer. normal slitasje og skader som nødvendiggjør utbedring, er innenfor hva kjøper må forvente og vil ikke utgjøre en mangel. kjøper og selgers rettigheter og plikter reguleres av avtalen mellom partene, samt informasjonen som har vært tilgjengelig for kjøperen i forbindelse med handelen. avtalen utfylles av avhendingsloven, og det gjelder ulike avtalevilkår avhengig av om kjøper er forbrukerkjøper eller ikke. dette er nærmere beskrevet nedenfor. på grunn av ulike avtalevilkår kan selger vurdere bud fra en som ikke er forbruker, ulikt fra en forbrukers bud. dersom kjøper ikke er forbruker, er selger sitt mulige mangelsansvar begrenset fordi eiendommen selges som den er. selger kan ikke ta « som den er [unk] forbehold ovenfor en forbrukerkjøper. selv et lavere bud fra en som ikke er forbruker kan foretrekkes fordi begrensningen i mulig mangelsansvar kan ha egenverdi for selger. selger står fritt til å forkaste eller akseptere ethvert bud, og er for eksempel ikke forpliktet til å akseptere høyeste bud. budgiver skal i budskjema avgi egenerklæring om budgiver er forbruker eller næringsdrivende person som hovedsakelig handler som ledd i næringsvirksomhet. budgivere får informasjon dersom andre bud er inngitt av en som ikke er forbruker. forbrukerkjøp - definisjon med forbrukerkjøp menes kjøp av eiendom når kjøperen er en fysisk person som ikke hovedsakelig handler som ledd i næringsvirksomhet. forbruker – avtalevilkår eiendommen har en mangel dersom den ikke er i samsvar med kravene som følger av avtalen, eller det foreligger brudd på bestemmelsene i avhendingsloven § § 3 - 2 til 3 - 8. hvis eiendommen ikke er i samsvar med det kjøperen må kunne forvente ut ifra."
'Er arbeidet byggemeldt?',"Alder, type og synlig tilstand, kan det være grunnlag for mangelskrav. det samme gjelder hvis det er holdt tilbake eller gitt uriktige opplysninger om eiendommen. dette gjelder likevel bare dersom man kan gå ut ifra at det virket inn trondheimsveien 73 18 informasjon på avtalen at opplysningen ikke ble gitt eller at uriktige opplysninger ikke blir rettet i tide på en tydelig måte. boligen kan ha en mangel etter avhendingsloven § 3 - 3 dersom det er avvik mellom opplyst og faktisk innvendig areal, forutsatt at avviket er på 2 % eller mer og minimum 1 kvm. ved beregning av et eventuelt prisavslag eller erstatning må kjøper selv dekke tapkostnader opptil et beløp på kr 10 000 ( egenandel ). ikke - forbruker ( næringsdrivende ) – definisjon hvis kjøper er en juridisk person, eller en fysisk person som hovedsakelig handler som ledd i næringsvirksomhet, vil kjøpet ikke anses som et forbrukerkjøp. ikke - forbruker – avtalevilkår eiendommen har en mangel dersom den ikke er i samsvar med kravene som følger av avtalen. eiendommen selges « som den er [unk], og selgers ansvar utover det konkret avtalte er da begrenset etter avhendingsloven § 3 - 9, første ledd andre setning. avhendingsloven § 3 - 3 andre ledd fravikes, og hvorvidt boligens arealsvikt utgjør en mangel vurderes etter avhendingsloven § 3 - 8. informasjon om kjøpers undersøkelsesplikt, herunder oppfordringen om å undersøke eiendommen nøye, gjelder også for kjøpere som ikke anses som forbrukere. bestemmelser tiltak mot hvitvasking kjøpers innbetaling i henhold til lov om hvitvasking og terrorfinansiering har megler plikt til å gjennomføre kontrolltiltak ovenfor kunder. dette innebærer å bekrefte kunders identitet på bakgrunn av fremvist gyldig legitimasjon. videre innebærer det å få bekreftet identiteten til eventuelle reelle rettighetshavere, og å innhente opplysninger om kundeforholdets formål og tilsiktede art. dersom slike kundetiltak ikke kan gjennomføres kan megler ikke etablere kundeforholdet eller utføre transaksjonen. kjøper oppfordres til å innbetale kjøpesummen som ikke kommer fra låneinstitusjon, i en samlet innbetaling fra egen konto i norsk bank. dersom megler får mistanke om brudd på hvitvaskingsreglementet i forbindelse med en eiendomshandel, og han ikke klarer å få avkreftet denne mistanke, har han plikt til å rapportere dette til økokrim. melding sendes økokrim uten at partene varsles. megler kan i enkelte tilfeller også ha plikt til å stanse gjennomføring."
'Er arbeidet meldt inn til bygningsmyndighetene?',"##beiendom. no tlf 416 13 664 ali aftab inayat daglig leder eiendomsmegler ali. inayat @ dnbeiendom. no tlf 974 19 049 ansvarlig megler ali aftab inayat daglig leder eiendomsmegler ali. inayat @ dnbeiendom. no tlf 974 19 049 avdeling dnb eiendom as, avd. oslo økern portal, lørenfaret 1c, inngang c, 5. etg 0585 oslo tlf 974 29 000 org. nr. 910 968 955 salgsoppgavedato 30. 04. 2024 visning som annonsert eller ta kontakt med megler sandra bjerkemo kristiansen på mob 416 13 664 for avtale om visning."
'Har arbeidet blitt byggemeldt?',"Alder, type og synlig tilstand, kan det være grunnlag for mangelskrav. det samme gjelder hvis det er holdt tilbake eller gitt uriktige opplysninger om eiendommen. dette gjelder likevel bare dersom man kan gå ut ifra at det virket inn trondheimsveien 73 18 informasjon på avtalen at opplysningen ikke ble gitt eller at uriktige opplysninger ikke blir rettet i tide på en tydelig måte. boligen kan ha en mangel etter avhendingsloven § 3 - 3 dersom det er avvik mellom opplyst og faktisk innvendig areal, forutsatt at avviket er på 2 % eller mer og minimum 1 kvm. ved beregning av et eventuelt prisavslag eller erstatning må kjøper selv dekke tapkostnader opptil et beløp på kr 10 000 ( egenandel ). ikke - forbruker ( næringsdrivende ) – definisjon hvis kjøper er en juridisk person, eller en fysisk person som hovedsakelig handler som ledd i næringsvirksomhet, vil kjøpet ikke anses som et forbrukerkjøp. ikke - forbruker – avtalevilkår eiendommen har en mangel dersom den ikke er i samsvar med kravene som følger av avtalen. eiendommen selges « som den er [unk], og selgers ansvar utover det konkret avtalte er da begrenset etter avhendingsloven § 3 - 9, første ledd andre setning. avhendingsloven § 3 - 3 andre ledd fravikes, og hvorvidt boligens arealsvikt utgjør en mangel vurderes etter avhendingsloven § 3 - 8. informasjon om kjøpers undersøkelsesplikt, herunder oppfordringen om å undersøke eiendommen nøye, gjelder også for kjøpere som ikke anses som forbrukere. bestemmelser tiltak mot hvitvasking kjøpers innbetaling i henhold til lov om hvitvasking og terrorfinansiering har megler plikt til å gjennomføre kontrolltiltak ovenfor kunder. dette innebærer å bekrefte kunders identitet på bakgrunn av fremvist gyldig legitimasjon. videre innebærer det å få bekreftet identiteten til eventuelle reelle rettighetshavere, og å innhente opplysninger om kundeforholdets formål og tilsiktede art. dersom slike kundetiltak ikke kan gjennomføres kan megler ikke etablere kundeforholdet eller utføre transaksjonen. kjøper oppfordres til å innbetale kjøpesummen som ikke kommer fra låneinstitusjon, i en samlet innbetaling fra egen konto i norsk bank. dersom megler får mistanke om brudd på hvitvaskingsreglementet i forbindelse med en eiendomshandel, og han ikke klarer å få avkreftet denne mistanke, har han plikt til å rapportere dette til økokrim. melding sendes økokrim uten at partene varsles. megler kan i enkelte tilfeller også ha plikt til å stanse gjennomføring."
'Er arbeidet registrert hos bygningsmyndighetene?',"##beiendom. no tlf 416 13 664 ali aftab inayat daglig leder eiendomsmegler ali. inayat @ dnbeiendom. no tlf 974 19 049 ansvarlig megler ali aftab inayat daglig leder eiendomsmegler ali. inayat @ dnbeiendom. no tlf 974 19 049 avdeling dnb eiendom as, avd. oslo økern portal, lørenfaret 1c, inngang c, 5. etg 0585 oslo tlf 974 29 000 org. nr. 910 968 955 salgsoppgavedato 30. 04. 2024 visning som annonsert eller ta kontakt med megler sandra bjerkemo kristiansen på mob 416 13 664 for avtale om visning."
'Har arbeidet blitt meldt til bygningsmyndighetene?',"Salgsoppgave, tilstandsrapport og selgers egenerklæring. kjøper anses kjent med forhold som er tydelig beskrevet i salgsdokumentene, og slike forhold kan ikke påberopes som mangler. dette gjelder uavhengig av om kjøper har lest dokumentene. alle interessenter oppfordres til å undersøke eiendommen nøye, gjerne sammen med fagkyndig før bud inngis. kjøper som velger å kjøpe usett kan ikke gjøre gjeldende som mangel noe han burde blitt kjent med ved undersøkelsen. dersom det er behov for avklaringer, anbefaler vi at interessenter rådfører seg med eiendomsmegler eller egne rådgivere før det legges inn bud. en bolig som har blitt brukt i en viss tid, har vanligvis blitt utsatt for slitasje og skader kan ha oppstått. slik bruksslitasje må kjøper regne med, og det kan avdekkes enkelte forhold etter overtakelse som nødvendiggjør utbedringer. normal slitasje og skader som nødvendiggjør utbedring, er innenfor hva kjøper må forvente og vil ikke utgjøre en mangel. kjøper og selgers rettigheter og plikter reguleres av avtalen mellom partene, samt informasjonen som har vært tilgjengelig for kjøperen i forbindelse med handelen. avtalen utfylles av avhendingsloven, og det gjelder ulike avtalevilkår avhengig av om kjøper er forbrukerkjøper eller ikke. dette er nærmere beskrevet nedenfor. på grunn av ulike avtalevilkår kan selger vurdere bud fra en som ikke er forbruker, ulikt fra en forbrukers bud. dersom kjøper ikke er forbruker, er selger sitt mulige mangelsansvar begrenset fordi eiendommen selges som den er. selger kan ikke ta « som den er [unk] forbehold ovenfor en forbrukerkjøper. selv et lavere bud fra en som ikke er forbruker kan foretrekkes fordi begrensningen i mulig mangelsansvar kan ha egenverdi for selger. selger står fritt til å forkaste eller akseptere ethvert bud, og er for eksempel ikke forpliktet til å akseptere høyeste bud. budgiver skal i budskjema avgi egenerklæring om budgiver er forbruker eller næringsdrivende person som hovedsakelig handler som ledd i næringsvirksomhet. budgivere får informasjon dersom andre bud er inngitt av en som ikke er forbruker. forbrukerkjøp - definisjon med forbrukerkjøp menes kjøp av eiendom når kjøperen er en fysisk person som ikke hovedsakelig handler som ledd i næringsvirksomhet. forbruker – avtalevilkår eiendommen har en mangel dersom den ikke er i samsvar med kravene som følger av avtalen, eller det foreligger brudd på bestemmelsene i avhendingsloven § § 3 - 2 til 3 - 8. hvis eiendommen ikke er i samsvar med det kjøperen må kunne forvente ut ifra."
'Er arbeidet byggemeldt eller registrert hos bygningsmyndighetene?',"Alder, type og synlig tilstand, kan det være grunnlag for mangelskrav. det samme gjelder hvis det er holdt tilbake eller gitt uriktige opplysninger om eiendommen. dette gjelder likevel bare dersom man kan gå ut ifra at det virket inn trondheimsveien 73 18 informasjon på avtalen at opplysningen ikke ble gitt eller at uriktige opplysninger ikke blir rettet i tide på en tydelig måte. boligen kan ha en mangel etter avhendingsloven § 3 - 3 dersom det er avvik mellom opplyst og faktisk innvendig areal, forutsatt at avviket er på 2 % eller mer og minimum 1 kvm. ved beregning av et eventuelt prisavslag eller erstatning må kjøper selv dekke tapkostnader opptil et beløp på kr 10 000 ( egenandel ). ikke - forbruker ( næringsdrivende ) – definisjon hvis kjøper er en juridisk person, eller en fysisk person som hovedsakelig handler som ledd i næringsvirksomhet, vil kjøpet ikke anses som et forbrukerkjøp. ikke - forbruker – avtalevilkår eiendommen har en mangel dersom den ikke er i samsvar med kravene som følger av avtalen. eiendommen selges « som den er [unk], og selgers ansvar utover det konkret avtalte er da begrenset etter avhendingsloven § 3 - 9, første ledd andre setning. avhendingsloven § 3 - 3 andre ledd fravikes, og hvorvidt boligens arealsvikt utgjør en mangel vurderes etter avhendingsloven § 3 - 8. informasjon om kjøpers undersøkelsesplikt, herunder oppfordringen om å undersøke eiendommen nøye, gjelder også for kjøpere som ikke anses som forbrukere. bestemmelser tiltak mot hvitvasking kjøpers innbetaling i henhold til lov om hvitvasking og terrorfinansiering har megler plikt til å gjennomføre kontrolltiltak ovenfor kunder. dette innebærer å bekrefte kunders identitet på bakgrunn av fremvist gyldig legitimasjon. videre innebærer det å få bekreftet identiteten til eventuelle reelle rettighetshavere, og å innhente opplysninger om kundeforholdets formål og tilsiktede art. dersom slike kundetiltak ikke kan gjennomføres kan megler ikke etablere kundeforholdet eller utføre transaksjonen. kjøper oppfordres til å innbetale kjøpesummen som ikke kommer fra låneinstitusjon, i en samlet innbetaling fra egen konto i norsk bank. dersom megler får mistanke om brudd på hvitvaskingsreglementet i forbindelse med en eiendomshandel, og han ikke klarer å få avkreftet denne mistanke, har han plikt til å rapportere dette til økokrim. melding sendes økokrim uten at partene varsles. megler kan i enkelte tilfeller også ha plikt til å stanse gjennomføring."
